id	course_name	course_language	course_short_name	categories	universities	categories_name	universities_name
13	Contemporary India 	en	contempindia	[2, 6, 20]	[33]	 Economics & Finance + Humanities  + Social Sciences	 The University of Melbourne
14	社会调查与研究方法 （上）Methodologies in Social Research (Part I)	zh-cn	methodologysocial	[8, 13, 14, 20]	[163]	 Health & Society + Business & Management + Education + Social Sciences	 Peking University
15	Global Perspectives on Sexual and Reproductive Health and Rights (SRHR)	en	globalsrhr	[3, 8, 20]	[199]	 Medicine + Health & Society + Social Sciences	 Lund University
16	Classics of Chinese Humanities: Guided Readings	en	chinesehumanitieseng	[6]	[45]	 Humanities 	 The Chinese University of Hong Kong
17	Writing II: Rhetorical Composing	en	writing2	[6, 14]	[28]	 Humanities  + Education	 The Ohio State University
18	Journalism Skills for Engaged Citizens	en	citizenjournalism	[4, 6, 8]	[33]	 Information, Tech & Design + Humanities  + Health & Society	 The University of Melbourne
19	American Health Policy: The Affordable Care Act and the Future of Health Care Reform (Part II of II)	en	ushealthcarereform	[2, 8]	[6]	 Economics & Finance + Health & Society	 University of Pennsylvania
20	Games without Chance: Combinatorial Game Theory 	en	cgt	[5]	[9]	 Mathematics	 Georgia Institute of Technology
21	Introduction to Human Behavioral Genetics	en	behavioralgenetics	[8, 10, 20]	[50]	 Health & Society + Biology & Life Sciences + Social Sciences	 University of Minnesota
22	Miracles of Human Language: An Introduction to Linguistics	en	humanlanguage	[6]	[25]	 Humanities 	 Universiteit Leiden
23	An Introduction to Interactive Programming in Python	en	interactivepython	[12]	[13]	 Computer Science: Software Engineering	 Rice University
24	Social Entrepreneurship	en	socialentrepeneur	[2, 13, 20]	[175]	 Economics & Finance + Business & Management + Social Sciences	 Copenhagen Business School
25	Tecnologías de información y comunicación en la educación	es	ticyeducacion	[14]	[58]	 Education	 Universidad Nacional Autónoma de México
26	Exploring Quantum Physics	en	eqp	[23]	[32]	 Physics	 University of Maryland, College Park
27	Animal Behaviour and Welfare	en	animal	[8, 10, 20]	[14]	 Health & Society + Biology & Life Sciences + Social Sciences	 The University of Edinburgh
28	Instructional Methods in Health Professions Education	en	instructmethodshpe	[3, 8, 14]	[3]	 Medicine + Health & Society + Education	 University of Michigan
29	Mathematical Methods for Quantitative Finance	en	mathematicalmethods	[2, 5, 13]	[15]	 Economics & Finance + Mathematics + Business & Management	 University of Washington
30	艺术史	zh-cn	arthistory	[22]	[163]	 Arts	 Peking University
31	E-learning and Digital Cultures	en	edc	[14]	[14]	 Education	 The University of Edinburgh
32	Marriage and the Movies: A History	en	marriageandmovies	[6, 18]	[34]	 Humanities  + Music, Film, and Audio	 Wesleyan University
33	Understanding China, 1700-2000: A Data Analytic Approach, Part 1	en	newchinahistory1	[6, 20]	[35]	 Humanities  + Social Sciences	 The Hong Kong University of Science and Technology
34	מבוא לאנרגיה מתחדשת Introduction to Renewable Energy 	he	renewableenergy	[9, 15, 25]	[110]	 Physical & Earth Sciences + Engineering + Energy & Earth Sciences	 Tel Aviv University
35	Modern Hebrew Poetry   שירה עברית מודרנית  	he	hebrewpoetry1	[6]	[24]	 Humanities 	 Hebrew University of Jerusalem
36	Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors	en	postharvestloss	[8, 10, 13, 15, 19, 20, 25]	[17]	 Health & Society + Biology & Life Sciences + Business & Management + Engineering + Food and Nutrition + Social Sciences + Energy & Earth Sciences	 University of Illinois at Urbana-Champaign
37	Financing for Development	en	fin4devmooc	[2, 13]	[73]	 Economics & Finance + Business & Management	 The World Bank Group
38	Fundamentos de la escritura en español	es	escrituraesp	[6, 14, 20]	[62]	 Humanities  + Education + Social Sciences	 Tecnológico de Monterrey
39	Introduction to Natural Language Processing	en	nlpintro	[4, 6, 16, 17]	[3]	 Information, Tech & Design + Humanities  + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 University of Michigan
40	Introduction to Systematic Review and Meta-Analysis	en	systematicreview	[3, 8, 16]	[8]	 Medicine + Health & Society + Statistics and Data Analysis	 Johns Hopkins University
41	iMOOC101: Mastering American eLearning	en	imooc	[4, 13, 14]	[117]	 Information, Tech & Design + Business & Management + Education	 The State University of New York
42	Antimicrobial Stewardship: Optimization of Antibiotic Practices	en	antimicrobial	[3]	[1]	 Medicine	 Stanford University
43	Economic Issues, Food & You	en	ecfoodandyou	[2, 19]	[31]	 Economics & Finance + Food and Nutrition	 University of Florida
44	Financing and Investing in Infrastructure	en	infrafinance	[2]	[157]	 Economics & Finance	 Università Bocconi
45	Engaging Students through Cooperative Learning	en	cooperativelearning	[14, 26]	[8]	 Education + Teacher Professional Development	 Johns Hopkins University
46	The Finite Element Method for Problems in Physics	en	finiteelementmethods	[5, 15, 23]	[3]	 Mathematics + Engineering + Physics	 University of Michigan
47	Mobile and Ubiquitous Computing	en	uidesign2	[4]	[9]	 Information, Tech & Design	 Georgia Institute of Technology
48	Tinkering Fundamentals: A Constructionist Approach to STEM Learning	en	tinkering	[4, 14, 26]	[108]	 Information, Tech & Design + Education + Teacher Professional Development	 Exploratorium
49	Networks Illustrated: Principles without Calculus	en	ni	[2, 4, 11]	[4]	 Economics & Finance + Information, Tech & Design + Computer Science: Systems & Security	 Princeton University
50	AIDS	en	aids	[3, 8, 10]	[23]	 Medicine + Health & Society + Biology & Life Sciences	 Emory University
51	Pensamiento algorítmico	es	pealgoritmico	[1, 14]	[62]	 Computer Science: Theory + Education	 Tecnológico de Monterrey
52	Chinese Politics Part 1 – China and Political Science	en	chinesepolitics1	[6, 20]	[35]	 Humanities  + Social Sciences	 The Hong Kong University of Science and Technology
53	Calvin - Histoire et réception d'une Réforme	fr	calvin	[6]	[49]	 Humanities 	 University of Geneva
54	Introduction to Thermodynamics: Transferring Energy from Here to There	en	introthermodynamics	[15, 25]	[3]	 Engineering + Energy & Earth Sciences	 University of Michigan
55	Genomic Data Science and Clustering (Bioinformatics V)	en	clustering	[1, 4, 5, 10, 12]	[53]	 Computer Science: Theory + Information, Tech & Design + Mathematics + Biology & Life Sciences + Computer Science: Software Engineering	 University of California, San Diego
56	Our Earth: Its Climate, History, and Processes	en	ourearth	[9, 25]	[147]	 Physical & Earth Sciences + Energy & Earth Sciences	 University of Manchester
57	Forensic Accounting and Fraud Examination	en	forensicaccounting	[2, 13, 16]	[116]	 Economics & Finance + Business & Management + Statistics and Data Analysis	 West Virginia University
58	Write Like Mozart: An Introduction to Classical Music Composition	en	classicalcomp	[18]	[47]	 Music, Film, and Audio	 National University of Singapore
59	Asset Pricing, Part 2	en	assetpricing2	[2, 5, 13]	[102]	 Economics & Finance + Mathematics + Business & Management	 The University of Chicago
60	Learning to Teach Online	en	ltto	[14, 26]	[155]	 Education + Teacher Professional Development	 UNSW Australia (The University of New South Wales)
61	Disaster Preparedness for the Health Care Professional	en	disasterpreparedness	[3, 8]	[8]	 Medicine + Health & Society	 Johns Hopkins University
62	Better Leader, Richer Life	en	totalleadership	[8, 13, 14, 20]	[6]	 Health & Society + Business & Management + Education + Social Sciences	 University of Pennsylvania
63	Initiation à la programmation (en C++)	fr	initprogcpp	[12]	[16]	 Computer Science: Software Engineering	 École Polytechnique Fédérale de Lausanne
64	Critical Perspectives on Management	en	criticalmanagement	[13]	[61]	 Business & Management	 IE Business School
65	Preparing for the AP* Statistics Exam	en	apstat	[5, 16]	[119]	 Mathematics + Statistics and Data Analysis	 University of Houston System
66	Mathematical Biostatistics Boot Camp 2	en	biostats2	[4, 5, 8]	[8]	 Information, Tech & Design + Mathematics + Health & Society	 Johns Hopkins University
67	Introduction to Chemistry:  Reactions and Ratios	en	chem991	[9, 24, 26]	[7]	 Physical & Earth Sciences + Chemistry + Teacher Professional Development	 Duke University
68	FLOW Education: Facilitating Learning through Outdoor Watershed Education	en	watershed	[14, 26]	[154]	 Education + Teacher Professional Development	 National Geographic Society
69	Programming for Everybody (Python)	en	pythonlearn	[4, 12]	[3]	 Information, Tech & Design + Computer Science: Software Engineering	 University of Michigan
70	Image and video processing: From Mars to Hollywood with a stop at the hospital	en	images	[5, 15, 17]	[7]	 Mathematics + Engineering + Computer Science: Artificial Intelligence	 Duke University
71	Fundamentos e Linguagem de Negócios: Contabilidade (The Blue Side Up)	pt-br	linguanegocios	[2, 13]	[221]	 Economics & Finance + Business & Management	 Universidade de São Paulo
72	Discrete Optimization	en	optimization	[17]	[33]	 Computer Science: Artificial Intelligence	 The University of Melbourne
73	Water Supply and Sanitation Policy in Developing Countries	en	water	[2, 8, 13]	[147]	 Economics & Finance + Health & Society + Business & Management	 University of Manchester
74	Generating the Wealth of Nations	en	wealthofnations	[2]	[33]	 Economics & Finance	 The University of Melbourne
75	Cloud Computing Concepts	en	cloudcomputing	[1, 4, 12, 15]	[17]	 Computer Science: Theory + Information, Tech & Design + Computer Science: Software Engineering + Engineering	 University of Illinois at Urbana-Champaign
76	Economics of Money and Banking, Part Two	en	money2	[2]	[40]	 Economics & Finance	 Columbia University
77	Statistical Mechanics: Algorithms and Computations	en	smac	[1, 5, 23, 24]	[130]	 Computer Science: Theory + Mathematics + Physics + Chemistry	 École normale supérieure
78	Big Data em Saúde no Brasil	pt-br	bigdatabrasil	[8, 16]	[221]	 Health & Society + Statistics and Data Analysis	 Universidade de São Paulo
79	Introduction to Art: Concepts & Techniques	en	art	[6, 22]	[51]	 Humanities  + Arts	 The Pennsylvania State University
80	Computer Architecture	en	comparch	[11, 15]	[4]	 Computer Science: Systems & Security + Engineering	 Princeton University
81	Deciphering Secrets: Unlocking the Manuscripts of Medieval Spain	en	medievalspain	[6]	[126]	 Humanities 	 University of Colorado System
82	媒介批评:理论与方法 Media Criticism: Theory and Method	zh-cn	sjtujc331	[6, 18]	[150]	 Humanities  + Music, Film, and Audio	 Shanghai Jiao Tong University
83	International Human Rights Law: Prospects and Challenges	en	intlhumanrightslaw	[20, 21]	[7]	 Social Sciences + Law	 Duke University
84	Statistics One	en	stats1	[16]	[4]	 Statistics and Data Analysis	 Princeton University
85	Introduction to Dental Medicine	en	dentmedpenn	[3, 8]	[6]	 Medicine + Health & Society	 University of Pennsylvania
86	Asset Pricing, Part 1	en	assetpricing	[2, 5, 13]	[102]	 Economics & Finance + Mathematics + Business & Management	 The University of Chicago
87	Automata	en	automata	[1]	[1]	 Computer Science: Theory	 Stanford University
88	Massively Multivariable Open Online Calculus Course	en	m2o2c2	[5]	[28]	 Mathematics	 The Ohio State University
89	Climate Change	en	climatechange	[2, 6, 25]	[33]	 Economics & Finance + Humanities  + Energy & Earth Sciences	 The University of Melbourne
90	The Android Capstone Project 	en	androidcapstone2	[4, 12]	[32, 37]	 Information, Tech & Design + Computer Science: Software Engineering	 University of Maryland, College Park + Vanderbilt University
91	An Introduction to Interactive Programming in Python (Part 1)	en	interactivepython1	[12]	[13]	 Computer Science: Software Engineering	 Rice University
92	ART of the MOOC: Merging Public Art and Experimental Education	en	artofthemooc	[6, 14, 18, 20, 22]	[7]	 Humanities  + Education + Music, Film, and Audio + Social Sciences + Arts	 Duke University
93	Egiptología (Egyptology)	es	egypt	[6]	[80]	 Humanities 	 Universitat Autònoma de Barcelona
94	Equine Nutrition	en	equinenutrition	[3]	[14]	 Medicine	 The University of Edinburgh
95	食品安全與毒理 (Food Safety & Toxicology)	zh-tw	foodsafetytox	[8, 19]	[75]	 Health & Society + Food and Nutrition	 National Taiwan University
96	From GPS and Google Maps to Spatial Computing	en	spatialcomputing	[4, 8, 9, 11, 16, 20]	[50]	 Information, Tech & Design + Health & Society + Physical & Earth Sciences + Computer Science: Systems & Security + Statistics and Data Analysis + Social Sciences	 University of Minnesota
97	Personal & Family Financial Planning	en	uffinancialplanning	[2, 5, 13]	[31]	 Economics & Finance + Mathematics + Business & Management	 University of Florida
98	财务会计概论（中文版）	zh-cn	whartonaccountingzh	[2, 13]	[6]	 Economics & Finance + Business & Management	 University of Pennsylvania
99	Practicing Tolerance in a Religious Society: The Church and the Jews in Italy	en	religionandtolerance	[6, 20]	[32]	 Humanities  + Social Sciences	 University of Maryland, College Park
100	遗传学实验	zh-cn	geneticlab	[10]	[163]	 Biology & Life Sciences	 Peking University
101	Bioinformatics: Life Sciences on Your Computer	en	bioinform	[4, 10]	[8]	 Information, Tech & Design + Biology & Life Sciences	 Johns Hopkins University
102	What future for education?	en	futureeducation	[14, 26]	[26]	 Education + Teacher Professional Development	 University of London
103	Caries Management by Risk Assessment (CAMBRA)	en	cariesmanagement	[3, 8, 10]	[10]	 Medicine + Health & Society + Biology & Life Sciences	 University of California, San Francisco
104	Financial Markets 金融市场（中文版）	zh-cn	financialmarketszh	[2, 13]	[109]	 Economics & Finance + Business & Management	 Yale University
105	Modern European Mysticism and Psychological Thought	en	mysticthought	[6]	[24]	 Humanities 	 Hebrew University of Jerusalem
106	Healthcare Technologies to Assess Human Behavior for Health Management	en	healthimaging	[3, 15]	[9]	 Medicine + Engineering	 Georgia Institute of Technology
107	Writing in the Sciences	en	sciwrite	[6, 10]	[1]	 Humanities  + Biology & Life Sciences	 Stanford University
108	An Introduction to Population Health	en	population	[8]	[147]	 Health & Society	 University of Manchester
109	The Power of Macroeconomics: Economic Principles in the Real World	en	ucimacroeconomics	[2, 13]	[30]	 Economics & Finance + Business & Management	 University of California, Irvine
110	Alcohol, Drugs, and Baby Boomers: Are you ready?	en	babyboomersanddrugs	[3, 8]	[8]	 Medicine + Health & Society	 Johns Hopkins University
111	中级有机化学 Comprehensive Organic Chemistry	zh-cn	orgchem	[24]	[163]	 Chemistry	 Peking University
112	Valuation: Alternative Methods	en	valuationmethods	[2, 13]	[3]	 Economics & Finance + Business & Management	 University of Michigan
113	Introduction to Pharmacy	en	intropharma	[3, 8]	[28]	 Medicine + Health & Society	 The Ohio State University
114	Game Theory	en	gametheory	[1, 2, 17]	[1, 29]	 Computer Science: Theory + Economics & Finance + Computer Science: Artificial Intelligence	 Stanford University
115	Основы микроэкономики (Microeconomics Principles)	ru	microeconomic	[2]	[160]	 Economics & Finance	 Higher School of Economics
116	Energy, the Environment, and Our Future	en	energy	[25]	[51]	 Energy & Earth Sciences	 The Pennsylvania State University
117	Nanotechnology: The Basics	en	nanotech	[8, 9, 10, 15, 23, 24]	[13]	 Health & Society + Physical & Earth Sciences + Biology & Life Sciences + Engineering + Physics + Chemistry	 Rice University
118	Geospatial Intelligence & the Geospatial Revolution	en	geoint	[4, 16, 20]	[51]	 Information, Tech & Design + Statistics and Data Analysis + Social Sciences	 The Pennsylvania State University
119	Grundlagenkurs Unfallchirurgie	de	traumasurgery	[3]	[78]	 Medicine	 Technische Universität München (TUM)
120	Creative Programming for Digital Media & Mobile Apps	en	digitalmedia	[4, 12]	[26]	 Information, Tech & Design + Computer Science: Software Engineering	 University of London
121	Introduction to Key Constitutional Concepts and Supreme Court Cases	en	constitution	[20, 21]	[6]	 Social Sciences + Law	 University of Pennsylvania
122	The Law of the European Union: An Introduction	en	introeulaw	[6, 20, 21]	[25]	 Humanities  + Social Sciences + Law	 Universiteit Leiden
123	Law and the Entrepreneur 	en	law	[13, 21]	[54]	 Business & Management + Law	 Northwestern University
124	Text Mining and Analytics	en	textanalytics	[4, 16, 17]	[17]	 Information, Tech & Design + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 University of Illinois at Urbana-Champaign
125	Introduction to Astronomy	en	introastro	[23, 26]	[7]	 Physics + Teacher Professional Development	 Duke University
126	Proyecto de Fundamentos Empresariales de Wharton	es	whartoncapstonees	[13]	[6]	 Business & Management	 University of Pennsylvania
127	Vaccine Trials: Methods and Best Practices	en	vacctrials	[3, 8]	[8]	 Medicine + Health & Society	 Johns Hopkins University
128	Introduction à la programmation orientée objet (en Java)	fr	intropoojava	[12]	[16]	 Computer Science: Software Engineering	 École Polytechnique Fédérale de Lausanne
129	 Shakespeare in Community	en	virtualshakespeare	[6, 14, 18, 22]	[65]	 Humanities  + Education + Music, Film, and Audio + Arts	 University of Wisconsin–Madison
130	The Science of Gastronomy	en	scigast	[10, 19]	[35]	 Biology & Life Sciences + Food and Nutrition	 The Hong Kong University of Science and Technology
131	Introduction to Power Electronics	en	powerelectronics	[15]	[71, 126]	 Engineering	 University of Colorado Boulder + University of Colorado System
132	Introduction to Chemistry	en	chem99	[9, 24]	[7]	 Physical & Earth Sciences + Chemistry	 Duke University
133	Everything is the Same: Modeling Engineered Systems	en	modelsystems	[15]	[54]	 Engineering	 Northwestern University
134	Clinical Terminology for International and U.S. Students	en	clinicalterminology	[3]	[36]	 Medicine	 University of Pittsburgh
135	機器學習技法 (Machine Learning Techniques)	zh-tw	ntumltwo	[17]	[75]	 Computer Science: Artificial Intelligence	 National Taiwan University
136	The Fall and Rise of Jerusalem	en	jerusalem	[6]	[110]	 Humanities 	 Tel Aviv University
137	Social Entrepreneurship	en	socialimpact	[2, 6, 8, 13, 20]	[6]	 Economics & Finance + Humanities  + Health & Society + Business & Management + Social Sciences	 University of Pennsylvania
138	Introduction to Classical Music	en	introtoclassical	[18]	[3]	 Music, Film, and Audio	 University of Michigan
139	Fundamentals of Fluid-Solid Interactions	en	fsi	[15, 23]	[66]	 Engineering + Physics	 École Polytechnique
140	大数据与信息传播         Big Data and Information Dissemination	zh-cn	fdubigdata	[13, 16, 20]	[188]	 Business & Management + Statistics and Data Analysis + Social Sciences	 Fudan University
141	Preparation for Introductory Biology: DNA to Organisms	en	introbiology	[10]	[30]	 Biology & Life Sciences	 University of California, Irvine
142	Engineering Self-Reflection for Human Completion	en	selfreflection	[6, 14, 15]	[178]	 Humanities  + Education + Engineering	 Korea Advanced Institute of Science and Technology
143	Fundamentals of Digital Image and Video Processing	en	digital	[4, 15, 17]	[54]	 Information, Tech & Design + Engineering + Computer Science: Artificial Intelligence	 Northwestern University
144	Документы и презентации в LaTeX (Introduction to LaTeX)	ru	latex	[4]	[160]	 Information, Tech & Design	 Higher School of Economics
145	Introduction to Data Science	en	datasci	[4, 11, 12, 16]	[15]	 Information, Tech & Design + Computer Science: Systems & Security + Computer Science: Software Engineering + Statistics and Data Analysis	 University of Washington
146	Magic in the Middle Ages	en	magicmiddleages	[6, 22]	[212]	 Humanities  + Arts	 University of Barcelona
147	Digital Signal Processing	en	dsp	[5, 15, 17]	[16]	 Mathematics + Engineering + Computer Science: Artificial Intelligence	 École Polytechnique Fédérale de Lausanne
148	Макроэкономика (Macroeconomics)	ru	macroec	[2]	[160]	 Economics & Finance	 Higher School of Economics
149	Introduction to Clinical Neurology	en	clinicalneurology	[3]	[10]	 Medicine	 University of California, San Francisco
150	Neuroscience: Perception, Action and the Brain Capstone	en	neurofinalproject	[3, 10, 26]	[7]	 Medicine + Biology & Life Sciences + Teacher Professional Development	 Duke University
151	Cryptography	en	cryptography	[11]	[32]	 Computer Science: Systems & Security	 University of Maryland, College Park
152	Эконометрика (Econometrics)	ru	econometrics	[2, 5, 16]	[160]	 Economics & Finance + Mathematics + Statistics and Data Analysis	 Higher School of Economics
153	Revolutionary Ideas: An Introduction to Legal and Political Philosophy (Alumni)	en	politicalphilosophyalumni	[20]	[6]	 Social Sciences	 University of Pennsylvania
154	Theatre and Globalization	en	globaltheatre	[6, 22]	[64]	 Humanities  + Arts	 Ludwig-Maximilians-Universität München (LMU)
155	Training and Learning Programs for Volunteer Community Health Workers	en	commhealthworkers	[3, 8, 14]	[8]	 Medicine + Health & Society + Education	 Johns Hopkins University
156	Control of Mobile Robots	en	conrob	[15, 17]	[9]	 Engineering + Computer Science: Artificial Intelligence	 Georgia Institute of Technology
157	Marine Megafauna: An Introduction to Marine Science and Conservation	en	megafauna	[10]	[7]	 Biology & Life Sciences	 Duke University
158	Linear and Integer Programming	en	linearprogramming	[]	[71, 126]		 University of Colorado Boulder + University of Colorado System
159	Poisonings in the Home and Community: Assessment and Emergency Response	en	poisonings	[3, 8]	[10]	 Medicine + Health & Society	 University of California, San Francisco
160	Organizational Analysis (Self-Paced)	en	organalysis	[13, 14, 20]	[1]	 Business & Management + Education + Social Sciences	 Stanford University
161	Surveillance Law	en	surveillance	[11, 21]	[1]	 Computer Science: Systems & Security + Law	 Stanford University
162	On Strategy: What Managers can learn from Philosophy - Part 2	en	businessandphilo2	[6, 13]	[128]	 Humanities  + Business & Management	 CentraleSupélec
163	Climate Change in Four Dimensions	en	4dimensions	[2, 8, 9, 10, 20, 21, 25]	[53]	 Economics & Finance + Health & Society + Physical & Earth Sciences + Biology & Life Sciences + Social Sciences + Law + Energy & Earth Sciences	 University of California, San Diego
164	Principles of fMRI 1	en	fmri1	[3, 8, 10, 16]	[8]	 Medicine + Health & Society + Biology & Life Sciences + Statistics and Data Analysis	 Johns Hopkins University
165	Foundations of Teaching for Learning Capstone: The Reflective Practitioner	en	teachcapstone	[6, 14, 26]	[106]	 Humanities  + Education + Teacher Professional Development	 Commonwealth Education Trust
166	Human Trafficking	en	humantrafficking	[6, 8, 20]	[28]	 Humanities  + Health & Society + Social Sciences	 The Ohio State University
167	Understanding Einstein: The Special Theory of Relativity	en	einstein	[6, 23]	[1]	 Humanities  + Physics	 Stanford University
168	Logic: Language and Information 2	en	logic2	[1, 5, 6, 15, 22]	[33]	 Computer Science: Theory + Mathematics + Humanities  + Engineering + Arts	 The University of Melbourne
169	Statistical Reasoning for Public Health 2: Regression Methods	en	statreasoning2	[5, 8, 10]	[8]	 Mathematics + Health & Society + Biology & Life Sciences	 Johns Hopkins University
170	Major Depression in the Population: A Public Health Approach	en	pmhdepression	[3, 8]	[8]	 Medicine + Health & Society	 Johns Hopkins University
171	沃顿商务基础毕业项目（中文版）	zh-cn	whartoncapstonezh	[2, 13]	[6]	 Economics & Finance + Business & Management	 University of Pennsylvania
172	Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives	en	resilienceinchildren	[8, 14, 20]	[50]	 Health & Society + Education + Social Sciences	 University of Minnesota
173	Economics of Money and Banking, Part One	en	money	[2]	[40]	 Economics & Finance	 Columbia University
174	流行病学基础（上）	zh-cn	bjmuepiabc	[3, 8]	[163]	 Medicine + Health & Society	 Peking University
175	工程圖學2D	zh-tw	graph	[4, 15, 22]	[75]	 Information, Tech & Design + Engineering + Arts	 National Taiwan University
176	算法设计与分析   Design and Analysis of Algorithms	zh-cn	algorithms	[1]	[163]	 Computer Science: Theory	 Peking University
177	唐诗宋词人文解读 Appreciation of Tang and Song Poetry	zh-cn	sjtuch902	[6]	[150]	 Humanities 	 Shanghai Jiao Tong University
178	Introduction to Light, Color, and Life	en	lcl	[4, 9, 10]	[178]	 Information, Tech & Design + Physical & Earth Sciences + Biology & Life Sciences	 Korea Advanced Institute of Science and Technology
179	Functional Programming Principles in Scala	en	progfun	[12]	[16]	 Computer Science: Software Engineering	 École Polytechnique Fédérale de Lausanne
180	Why We Need Psychology	en	needpsych	[6]	[26]	 Humanities 	 University of London
181	Auf Deutsch: Communicating in German Across Cultures 	en	deutsch	[6, 14, 20]	[6]	 Humanities  + Education + Social Sciences	 University of Pennsylvania
182	Markets with Frictions	en	marketswithfrictions	[2, 13]	[65]	 Economics & Finance + Business & Management	 University of Wisconsin–Madison
183	Psychology of Popularity	en	popularity	[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]	[77]	 Computer Science: Theory + Economics & Finance + Medicine + Information, Tech & Design + Mathematics + Humanities  + Health & Society + Physical & Earth Sciences + Biology & Life Sciences + Computer Science: Systems & Security + Computer Science: Software Engineering + Business & Management + Education + Engineering + Statistics and Data Analysis + Computer Science: Artificial Intelligence + Music, Film, and Audio + Food and Nutrition + Social Sciences + Law + Arts + Physics + Chemistry + Energy & Earth Sciences + Teacher Professional Development	 The University of North Carolina at Chapel Hill
184	The Science of Safety in Healthcare	en	healthcaresafety	[3, 8]	[8]	 Medicine + Health & Society	 Johns Hopkins University
185	Community Change in Public Health	en	communitychange	[8]	[8]	 Health & Society	 Johns Hopkins University
186	Feeding the World	en	feedingtheworld	[2, 8, 10, 19]	[6]	 Economics & Finance + Health & Society + Biology & Life Sciences + Food and Nutrition	 University of Pennsylvania
187	Ethical and Social Challenges of Genomic and Precision Medicine	en	ethicalsocialgenomic	[3, 8]	[10]	 Medicine + Health & Society	 University of California, San Francisco
188	Introduction to Statistics for the Social Sciences	en	statistics101	[5, 16, 20]	[93]	 Mathematics + Statistics and Data Analysis + Social Sciences	 University of Zurich
189	Software Defined Networking	en	sdn1	[11, 12]	[4]	 Computer Science: Systems & Security + Computer Science: Software Engineering	 Princeton University
190	Introductory Physics I with Laboratory	en	phys1	[9, 15, 23, 26]	[9]	 Physical & Earth Sciences + Engineering + Physics + Teacher Professional Development	 Georgia Institute of Technology
191	20世纪西方音乐 Western Music in the 20th Century	zh-cn	20cnwm	[6, 18, 22]	[163]	 Humanities  + Music, Film, and Audio + Arts	 Peking University
192	Learn to Program: The Fundamentals	en	programming1	[12]	[11]	 Computer Science: Software Engineering	 University of Toronto
193	Social Epidemiology	en	socialepi	[8, 20]	[50]	 Health & Society + Social Sciences	 University of Minnesota
194	Programming Languages	en	proglang	[12]	[15]	 Computer Science: Software Engineering	 University of Washington
195	Foundations of Virtual Instruction	en	virtualinstruction	[4, 14, 26]	[30]	 Information, Tech & Design + Education + Teacher Professional Development	 University of California, Irvine
196	Roman Architecture	en	romanarchitecture	[6, 22]	[109]	 Humanities  + Arts	 Yale University
197	ICT in Primary Education: Transforming children's learning across the curriculum	en	ictinprimary	[14, 26]	[26]	 Education + Teacher Professional Development	 University of London
198	Citizenship and U.S. Immigration	en	immigration	[6, 21]	[23]	 Humanities  + Law	 Emory University
199	Chinese Characters for beginner 汉字	zh-cn	chinesecharacters	[6]	[163]	 Humanities 	 Peking University
200	Unethical Decision Making in Organizations	en	unethicaldecision	[6, 13, 20]	[159]	 Humanities  + Business & Management + Social Sciences	 University of Lausanne
